genre,time_bin,x_centered,y_centered,z_centered
EDM,0.0000,2.2643,6.9853,-0.9883
EDM,0.1000,2.1357,6.8773,-0.9539
EDM,0.2000,2.2070,6.8705,-0.9684
EDM,0.3000,2.2567,6.8059,-0.9603
EDM,0.4000,2.2580,6.7450,-0.9460
EDM,0.5000,2.3853,6.8090,-0.9845
EDM,0.6000,2.1901,6.7151,-0.9743
EDM,0.7000,2.1248,6.7129,-0.9939
EDM,0.8000,1.9900,6.7165,-1.0178
EDM,0.9000,1.8010,6.8091,-1.0635
EDM,1.0000,1.8690,6.8994,-1.1133
EDM,1.1000,1.7158,6.8292,-1.0765
EDM,1.2000,1.7303,6.8354,-1.0765
EDM,1.3000,1.7142,6.8577,-1.0836
EDM,1.4000,1.6606,6.8666,-1.0753
EDM,1.5000,1.7562,6.8971,-1.1031
EDM,1.6000,1.6173,6.8089,-1.0809
EDM,1.7000,1.6770,6.7718,-1.0787
EDM,1.8000,1.7337,6.7918,-1.0730
EDM,1.9000,1.7733,6.8528,-1.0748
EDM,2.0000,1.9621,6.9455,-1.1164
EDM,2.1000,1.8747,6.9568,-1.0941
EDM,2.2000,1.9176,6.9833,-1.1043
EDM,2.3000,1.8654,6.9798,-1.0977
EDM,2.4000,1.7862,6.9492,-1.0873
EDM,2.5000,1.8637,6.8966,-1.1184
EDM,2.6000,1.6327,6.8194,-1.0902
EDM,2.7000,1.5727,6.7376,-1.0877
EDM,2.8000,1.4926,6.6586,-1.0879
EDM,2.9000,1.4320,6.5733,-1.0760
EDM,3.0000,1.5888,6.5373,-1.0961
EDM,3.1000,1.4612,6.5068,-1.0703
EDM,3.2000,1.5087,6.5476,-1.0838
EDM,3.3000,1.4773,6.5721,-1.0882
EDM,3.4000,1.4033,6.5250,-1.0652
EDM,3.5000,1.5283,6.5703,-1.0918
EDM,3.6000,1.4218,6.5733,-1.0541
EDM,3.7000,1.5366,6.6359,-1.0566
EDM,3.8000,1.5984,6.6566,-1.0506
EDM,3.9000,1.5547,6.6095,-1.0440
EDM,4.0000,1.6636,6.6081,-1.0719
EDM,4.1000,1.4872,6.5259,-1.0323
EDM,4.2000,1.4819,6.5709,-1.0456
EDM,4.3000,1.4659,6.6555,-1.0391
EDM,4.4000,1.4173,6.7469,-1.0263
EDM,4.5000,1.5243,6.9128,-1.0726
EDM,4.6000,1.3389,6.8853,-1.0459
EDM,4.7000,1.3581,6.9064,-1.0618
EDM,4.8000,1.3511,6.8634,-1.0692
EDM,4.9000,1.3199,6.8522,-1.0744
EDM,5.0000,1.3963,6.9496,-1.1296
EDM,5.1000,1.2412,6.9132,-1.1296
EDM,5.2000,1.2624,6.9190,-1.1734
EDM,5.3000,1.3023,6.9076,-1.1956
EDM,5.4000,1.2871,6.8621,-1.1855
EDM,5.5000,1.3946,6.8553,-1.2205
EDM,5.6000,1.2534,6.8258,-1.1866
EDM,5.7000,1.2310,6.8062,-1.1882
EDM,5.8000,1.1816,6.7440,-1.1954
EDM,5.9000,1.1113,6.7600,-1.1896
EDM,6.0000,1.1858,6.8383,-1.2210
EDM,6.1000,1.0218,6.9197,-1.2039
EDM,6.2000,1.0020,6.9547,-1.2170
EDM,6.3000,0.9508,6.9325,-1.2331
EDM,6.4000,0.9075,6.8782,-1.2195
EDM,6.5000,1.0317,6.8657,-1.2434
EDM,6.6000,0.9804,6.9099,-1.2256
EDM,6.7000,1.0677,7.0227,-1.2379
EDM,6.8000,1.0792,7.1808,-1.2506
EDM,6.9000,1.0058,7.2887,-1.2607
EDM,7.0000,1.0563,7.4132,-1.3045
EDM,7.1000,0.8530,7.4014,-1.2714
EDM,7.2000,0.8598,7.4004,-1.2739
EDM,7.3000,0.9226,7.4066,-1.2688
